XM_012316519.2	LOC100649911
XM_003392857.3	LOC100648154
XM_003392856.3	LOC100648043
XM_003392855.3	LOC100647922
XM_003392854.3	LOC100647800
XM_020868627.1	LOC110120351
XM_012315933.2	LOC100647405
XM_020863580.1	LOC100647405
XM_012315683.2	LOC100647405
XM_012315808.2	LOC100647405
XM_012315747.2	LOC100647405
XM_020863569.1	LOC100647405
XM_012315994.2	LOC100647405
XM_012316058.2	LOC100647405
XM_012315870.2	LOC100647405
XM_020863575.1	LOC100647405
XM_020863582.1	LOC100647405
XR_001099275.2	LOC105666407
XM_020863598.1	LOC100649793
XM_012315543.2	LOC100647601
XM_003392850.3	LOC100647285
XM_003392849.3	LOC100647171
XM_003392844.3	LOC100646573
XM_003392846.3	LOC100646815
XM_003392845.3	LOC100646694
XM_012314565.2	LOC100646937
XM_012314449.2	LOC100646937
XM_012314678.2	LOC100646937
XM_012314626.2	LOC100646937
XM_012314515.2	LOC100646937
XR_002307964.1	LOC100647053
XM_020864091.1	LOC100647053
XM_020864108.1	LOC100647053
XM_020864097.1	LOC100647053
XM_020864093.1	LOC100647053
XM_020864102.1	LOC100647053
XM_020864088.1	LOC100647053
XM_020864106.1	LOC100647053
XM_020864099.1	LOC100647053
XM_020864087.1	LOC100647053
XR_001099182.2	LOC105666289
XM_012314154.2	LOC100649679
XM_020864125.1	LOC100649559
XM_020868629.1	LOC100649434
XM_012313740.2	LOC100646214
XM_012313921.2	LOC100646091
XM_003392841.3	LOC100646091
XM_003392840.3	LOC100645973
XM_012313417.2	LOC100645666
XR_002308094.1	LOC100645666
XM_012313531.2	LOC100645666
XR_001099129.2	LOC100645666
XM_003392837.3	LOC100645666
XM_003392838.3	LOC100645787
XM_003392839.3	LOC100645787
XM_003392836.3	LOC100645550
XM_012313112.2	LOC100649317
XM_020863836.1	LOC100645431
XM_012316843.2	LOC100645431
XM_020863844.1	LOC100645431
XM_020863840.1	LOC100645431
XR_002308919.1	LOC105666164
XM_012313034.1	LOC100645230
XM_003392835.3	LOC100645110
XM_003392834.3	LOC100644991
XM_003392833.2	LOC100644871
XM_003392825.3	LOC100644046
XM_012312015.2	LOC100644046
XM_012312067.2	LOC100644046
XM_020864229.1	LOC100644046
XM_012312219.2	LOC100644628
XM_012312415.2	LOC100644628
XM_020864257.1	LOC100644628
XM_020864253.1	LOC100644628
XM_012312364.2	LOC100644628
XM_012312156.2	LOC100644628
XM_020864235.1	LOC100644628
XM_012312318.2	LOC100644628
XM_012312549.2	LOC100649198
XM_003392827.3	LOC100644236
XM_020864286.1	LOC110119517
XM_020864283.1	LOC100644746
XM_012311810.1	LOC100643837
XM_003392823.3	LOC100643837
XM_012311747.2	LOC100643837
XM_012311867.2	LOC100643837
XM_003392828.3	LOC100644354
XM_003392829.3	LOC100644354
XM_012311183.2	LOC100643393
XM_012311377.2	LOC100643270
XM_012311106.2	LOC100643027
XM_003392820.3	LOC100643514
XM_012310957.2	LOC100643147
XM_012310646.2	LOC100642910
XM_003392817.3	LOC100642910
XM_003392816.3	LOC100642790
XM_003392815.3	LOC100642672
XM_003392814.3	LOC100642550
XM_003392813.3	LOC100642432
XM_012310222.2	LOC100642432
XM_003392812.3	LOC100642312
XM_020864991.1	LOC100648963
XM_020864990.1	LOC100648847
XM_003392895.3	LOC100642791
XM_012309635.2	LOC100648733
XM_003392888.3	LOC100652148
XM_012309400.2	LOC100642551
XM_012309462.2	LOC100642551
XM_003392894.3	LOC100642673
XM_003392897.3	LOC100643028
XM_012309217.1	LOC100642313
XM_012309160.1	LOC100642313
XM_020862935.1	LOC100642433
XM_012308923.1	LOC100642433
XM_020862944.1	LOC100642433
XM_012308977.2	LOC100642433
XM_020862930.1	LOC100642433
XM_003392896.3	LOC100642911
XM_020868369.1	LOC100648617
XM_003392890.3	LOC100642190
XM_012308668.2	LOC100642190
XM_012308562.2	LOC100642190
XM_012308609.1	LOC100642190
XM_003392887.3	LOC100652027
XM_003392885.3	LOC100651827
XM_012308345.2	LOC100651827
XM_012308165.2	LOC100651827
XM_003392884.3	LOC100651709
XM_003392883.3	LOC100651591
XM_020864373.1	LOC110119538
XM_020864366.1	LOC110119538
XM_020864371.1	LOC110119538
XM_003392882.3	LOC100651474
XM_020864355.1	LOC100651474
XR_002308011.1	LOC110119538
XR_002308013.1	LOC110119538
XM_012307699.1	LOC100648500
XM_012321140.2	LOC100648500
XR_001099795.1	LOC105667172
XR_001099798.2	LOC105667172
XR_001099793.2	LOC105667172
XM_020864380.1	LOC100651235
XM_020864378.1	LOC100651235
XM_012320962.2	LOC100648385
XM_003392880.3	LOC100651113
XM_012320892.2	LOC100651113
XM_020865369.1	LOC100650872
XM_020865359.1	LOC100650872
XM_020865363.1	LOC100650872
XM_012320630.2	LOC100650872
XM_020865367.1	LOC100650872
XM_012314213.2	LOC100650754
XM_012315382.2	LOC100650754
XM_012311965.2	LOC100650754
XM_012312495.2	LOC100650754
XM_012311348.2	LOC100650754
XM_020865341.1	LOC100650754
XM_003392877.3	LOC100650754
XM_012313612.2	LOC100650754
XM_012316518.2	LOC100650754
XM_012315964.2	LOC100650754
XM_012317619.2	LOC100650754
XM_020865350.1	LOC100650754
XM_020865345.1	LOC100650754
XM_012318198.2	LOC100650754
XM_020865333.1	LOC100650754
XM_012318962.2	LOC100650629
XM_020865379.1	LOC105666912
XM_012320314.2	LOC100650511
XM_012320415.2	LOC100650511
XM_012320192.2	LOC100650511
XM_012320538.2	LOC100650388
XM_012320493.2	LOC100650388
XM_020865376.1	LOC100650265
XM_012309634.1	LOC100650265
XM_003392872.2	LOC100650139
XM_012308785.2	LOC100650023
XM_012307672.2	LOC100650023
XM_003392871.3	LOC100650023
XM_012310530.2	LOC100650023
XM_012316241.2	LOC100650023
XM_012320313.2	LOC100650023
XM_012320868.2	LOC100650023
XM_012316587.1	LOC100648268
XR_001099734.2	LOC105667089
XM_003392922.3	LOC100645974
XM_003392921.3	LOC100645858
XM_003392920.3	LOC100645738
XM_012320160.2	LOC100645616
XM_012320134.2	LOC100645512
XM_003392917.3	LOC100645399
XM_003392916.3	LOC100645277
XM_003392915.3	LOC100645155
XM_020864550.1	LOC100644951
XM_003392913.3	LOC100644951
XM_012319738.2	LOC100644834
XM_003392912.2	LOC100644834
XM_012319789.2	LOC100644834
XM_012320217.2	LOC100646647
XM_020863757.1	LOC100644709
XM_003392911.3	LOC100644709
XM_012319282.2	LOC100644709
XM_012319213.2	LOC100644709
XM_012319151.2	LOC100644709
XM_012319412.2	LOC100646400
XM_012319539.2	LOC100644590
XM_012319595.2	LOC100644590
XM_012319486.2	LOC100644590
XM_003392909.3	LOC100644472
XM_012318963.2	LOC100644279
XM_003392907.3	LOC100644159
XM_003392906.3	LOC100644047
XM_020863766.1	LOC100644047
XM_020863772.1	LOC100643838
XM_020863782.1	LOC100643838
XM_003392904.3	LOC100643838
XM_020863769.1	LOC100643838
XM_020863768.1	LOC100643838
XM_003392903.3	LOC100643719
XM_012318496.2	LOC100643719
XM_012318251.2	LOC100643599
XM_012318300.2	LOC100643599
XM_003392902.3	LOC100643599
XM_012318165.2	LOC100643599
XM_012318344.2	LOC100643599
XM_012317620.2	LOC105666614
XM_012317700.2	LOC105666622
XM_012317831.2	LOC100643394
XM_012317780.2	LOC100643394
XM_012318075.2	LOC100643394
XM_012318015.2	LOC100643394
XM_012317480.1	LOC100643148
XM_012317528.2	LOC100643148
XM_003392899.3	LOC100643271
XM_012317157.2	LOC105666565
XM_020862909.1	LOC105666565
XM_012317258.2	LOC100646280
XM_012320230.2	LOC100648081
XM_003393098.3	LOC100647954
XM_003393110.3	LOC100649722
XM_020864832.1	LOC100648195
XM_020864836.1	LOC100648195
XM_012320287.2	LOC100648195
XM_020864839.1	LOC100648195
XM_020864844.1	LOC100648195
XM_020864852.1	LOC100648195
XM_003393117.3	LOC100650672
XM_020864866.1	LOC100650672
XM_003393118.3	LOC100650798
XM_012320252.2	LOC100650798
251	TRNAI-AAU	
XR_002307715.1	LOC110119319
XM_020863620.1	LOC100650914
XR_002307819.1	LOC100650914
XR_001099740.2	LOC100650914
XR_002307814.1	LOC100650914
XR_002307818.1	LOC100650914
XR_002307820.1	LOC110119390
XM_020863603.1	LOC100648310
XM_012320328.2	LOC100648310
XM_012320329.2	LOC100648310
XM_012320330.2	LOC100648310
XM_020863616.1	LOC110119387
XM_020868651.1	LOC105665841
XM_020863611.1	LOC110119386
XM_020863613.1	LOC110119386
XM_020865605.1	LOC100651029
XM_003393120.3	LOC100651029
XM_003393123.3	LOC100651394
XM_020865593.1	LOC100651150
XM_012320361.2	LOC100651150
XM_012320368.2	LOC100651150
XM_012320380.2	LOC100651273
XM_003393122.3	LOC100651273
XM_012320395.2	LOC100651273
XM_012320388.1	LOC100651273
XM_012320402.1	LOC100651273
XM_003393124.2	LOC100651512
XM_003393129.3	LOC100652102
XM_003393125.3	LOC100651629
XM_020864933.1	LOC100651864
XM_003393127.3	LOC100651864
XM_003393128.3	LOC100651980
XM_003393126.3	LOC100651744
XM_012320464.2	LOC100652219
XM_012320453.2	LOC100652219
XM_020864918.1	LOC100642191
XM_003393131.3	LOC100642191
XM_003393133.2	LOC100642552
XM_012320495.2	LOC100642434
XM_003393132.3	LOC100642314
XM_012320509.2	LOC100642793
XM_012320513.2	LOC100642674
XM_003393137.3	LOC100642913
XR_001099753.2	LOC105667131
XM_003393136.3	LOC100642913
XM_012320545.2	LOC100646767
XM_003392929.2	LOC100646890
XM_003392930.3	LOC100647008
XM_003392931.3	LOC100647130
XM_012320571.2	LOC100647130
XM_012320575.2	LOC100647130
XM_012320581.2	LOC100647130
XM_012320587.2	LOC100647248
XM_003393102.3	LOC100648542
XM_012320601.2	LOC100648542
XM_020863508.1	LOC100648542
XM_020863485.1	LOC100648542
XM_003392932.3	LOC100647365
XM_012320619.2	LOC100647365
XM_003392933.3	LOC100647487
XM_020862968.1	LOC100648663
XM_003392935.3	LOC100647714
XM_020868513.1	LOC100647832
XM_020868510.1	LOC100647832
XM_003392936.3	LOC100647832
XM_020868524.1	LOC110120331
XM_003392937.3	LOC100647952
XM_012320706.2	LOC100648155
XM_003392939.3	LOC100648155
XM_003392940.3	LOC100648269
XM_012320689.2	LOC100648269
XM_003392941.3	LOC100648386
XM_012320744.2	LOC100648501
XM_012320733.2	LOC100648501
XM_012320740.2	LOC100648501
XM_012320750.2	LOC100648501
XM_003392944.2	LOC100648734
XM_003392945.3	LOC100648848
XM_003392946.3	LOC100648964
XM_020868505.1	LOC100648964
XM_003392943.3	LOC100648618
XM_003392947.3	LOC100649162
XM_012320795.2	LOC100649283
XM_020865475.1	LOC100649283
XM_020865553.1	LOC100649283
XM_012320804.2	LOC100649283
XM_020865567.1	LOC100649283
XR_002307945.1	LOC110119447
XM_003392951.3	LOC100649609
XM_020866128.1	LOC100649485
XM_020866079.1	LOC100649485
XM_003392950.3	LOC100649485
XM_012320909.2	LOC100649721
XM_012320904.2	LOC100649721
XM_012320901.2	LOC100649721
XM_012320876.2	LOC100649721
XM_020866335.1	LOC100649721
XM_003392952.3	LOC100649721
XM_012320898.1	LOC100649721
XM_020866319.1	LOC100649721
XM_020866350.1	LOC100649721
XM_020866292.1	LOC100649721
XM_020866209.1	LOC100649721
XM_012320869.2	LOC100651310
XM_012320927.2	LOC105667166
XM_012320919.2	LOC105665635
XM_012320937.2	LOC100648777
XM_003392954.3	LOC100649912
XM_003392963.3	LOC100651065
XM_003392966.3	LOC100651549
XM_012320963.2	LOC100650389
XM_003392967.3	LOC100651668
XM_003392958.3	LOC100650512
XM_012321067.2	LOC100650140
XM_012321060.1	LOC100651430
XM_012321047.2	LOC100650630
XM_003392960.3	LOC100650630
XM_003392959.3	LOC100650630
XM_012321039.2	LOC100650630
XM_012321023.1	LOC100651186
XM_012321016.1	LOC100651186
XM_012320999.1	LOC100650266
XM_012321004.1	LOC100650266
XM_003392957.2	LOC100650266
XM_012321010.1	LOC100650266
XM_003392955.3	LOC100650024
XM_003392961.3	LOC100650833
XM_003392962.3	LOC100650948
XM_012321120.1	LOC100651787
XM_012321106.2	LOC100651787
XM_012321117.2	LOC100651787
XM_012321124.2	LOC100651787
NM_001308306.1	LOC100651787
XM_003392969.3	LOC100651909
XM_012321152.2	LOC100652028
XM_012321148.2	LOC100652028
XM_012321142.2	LOC100652149
XR_002307884.1	LOC100652268
XM_020863795.1	LOC100652268
XM_020863791.1	LOC100652268
XM_020863793.1	LOC100652268
XM_012309408.2	LOC105665845
XM_020865175.1	LOC100642235
XM_003392972.2	LOC100642358
XM_012321191.1	LOC100642358
XM_012321215.2	LOC100642595
XM_012321201.2	LOC100642595
XM_012321234.2	LOC100642478
XM_012321227.2	LOC100642478
XM_003392974.3	LOC100642595
XM_012321238.2	LOC100642716
XM_020865308.1	LOC100642716
XM_012321286.2	LOC100642832
XM_012321294.2	LOC100642832
XM_020863349.1	LOC100642832
XM_020864049.1	LOC100642832
XM_020864292.1	LOC100642832
XM_020863808.1	LOC100642832
XM_012321307.2	LOC100642832
XM_020866664.1	LOC100642949
